"protein"	"m_diff"	"pval"	"adjpval"	"drug"
"KDM5D"	1.17456703584941	8.80581216949303e-07	0.00115323117624723	"Abemaciclib"
"FCER2"	1.1796716881121	5.46921884306897e-06	0.00350776055613364	"Abemaciclib"
"ZCCHC2"	0.426828426129869	6.26487972845936e-06	0.00350776055613364	"Abemaciclib"
"PHLDB2"	1.15882119468667	7.98381535626861e-06	0.00350776055613364	"Abemaciclib"
"HIP1R"	0.740382332115391	8.03533963417078e-06	0.00350776055613364	"Abemaciclib"
"MNDA"	1.3375441412998	8.92623733980402e-06	0.00372063145894694	"Abemaciclib"
"HROB"	0.265236355834544	1.08391859442318e-05	0.00420600559769322	"Abemaciclib"
"IFI44L"	1.0975633511525	1.15560667404702e-05	0.00432403254428237	"Abemaciclib"
"PIF1"	0.474355124250776	1.43347089189636e-05	0.00517878432220625	"Abemaciclib"
"MX1"	1.30012242631659	1.86966201978458e-05	0.00612139030665096	"Abemaciclib"
"AHNAK2"	0.662768876804825	2.22303309833043e-05	0.0066544907917737	"Abemaciclib"
"NOB1"	0.329408977390131	3.46704617886231e-05	0.00885957141852206	"Abemaciclib"
"SERPINI1"	0.925219103340813	3.84757855634799e-05	0.00937466989182741	"Abemaciclib"
"SLC27A2"	2.57596153963811	7.73686946027182e-06	0.0352050885109855	"Abexinostat"
"SYNJ2"	0.811193604476018	1.10268600472913e-05	0.0352050885109855	"Abexinostat"
"CHSY1"	0.338334360152506	5.89053163037439e-05	0.0626890529293988	"Abexinostat"
"ADAM10"	0.720334192447397	6.31210621008962e-05	0.0626890529293988	"Abexinostat"
"ACADVL"	0.648631194474711	0.000215379734980287	0.127535773965451	"Abexinostat"
"ADARB1"	1.31197828274971	0.000319406260943198	0.143658170722971	"Abexinostat"
"ZNF219"	0.772908188562727	0.000329972828973205	0.143658170722971	"Abexinostat"
"GLDC"	2.5051888223609	0.000594438711087975	0.166171857832588	"Abexinostat"
"NLRP3"	1.40948649452722	0.000614806103839878	0.166171857832588	"Abexinostat"
"RGL2"	0.560161678561872	0.000616181998686275	0.166171857832588	"Abexinostat"
"KMT2E"	0.542184987208922	0.000619543093063429	0.166171857832588	"Abexinostat"
"MAFG"	0.384388231880389	0.000619985974905733	0.166171857832588	"Abexinostat"
"MED7"	0.263821100587269	0.000778607321394178	0.180230790577597	"Abexinostat"
"EPDR1"	1.18635574846341	0.00091431919286341	0.180230790577597	"Abexinostat"
"MSL2"	0.361828666776918	0.000937752320591303	0.180230790577597	"Abexinostat"
"CRMP1"	2.10109444838968	0.000957889893773518	0.180230790577597	"Abexinostat"
"FAM160B2"	0.48043809530698	0.000974288186999132	0.180230790577597	"Abexinostat"
"USF1"	0.293932347231952	0.000976396014478426	0.180230790577597	"Abexinostat"
"ZNF329"	0.454033607586187	0.00106956399407496	0.180230790577597	"Abexinostat"
"MAGI3"	0.851182614696965	0.00119308993692928	0.190382557708875	"Abexinostat"
"GSN"	1.20106348844506	0.00121566591991286	0.190382557708875	"Abexinostat"
"HIP1R"	0.836278373107057	0.00123339047567926	0.190382557708875	"Abexinostat"
"ZNF160"	0.468954033966295	0.00141841960051221	0.202770491547849	"Abexinostat"
"FAM169A"	0.95135349813011	0.00159212155747433	0.209413895594011	"Abexinostat"
"FZD2"	0.91955705060099	0.00161476553209961	0.209413895594011	"Abexinostat"
"RING1"	0.439252128176662	0.00166500010294938	0.209413895594011	"Abexinostat"
"IGSF3"	0.882012448423293	0.00168759113982508	0.209413895594011	"Abexinostat"
"NAGA"	0.620094078540855	0.00170304456213858	0.209413895594011	"Abexinostat"
"SLFN5"	0.99116099097395	0.00176248633506554	0.209413895594011	"Abexinostat"
"SSH2"	0.437494079104971	0.00182869234980701	0.209413895594011	"Abexinostat"
"NDRG2"	1.07338698596543	0.00188244714670335	0.209413895594011	"Abexinostat"
"LRRFIP1"	0.375538338103504	0.00189248597861631	0.209413895594011	"Abexinostat"
"SLAMF1"	1.60017469113206	0.00197208113720605	0.209413895594011	"Abexinostat"
"CBX7"	0.579313728308513	0.00201197026657622	0.209413895594011	"Abexinostat"
"LZTFL1"	0.858970419430312	0.00201320707657483	0.209413895594011	"Abexinostat"
"NUCB2"	0.4373182110883	0.0020201596681756	0.209413895594011	"Abexinostat"
"MED13L"	0.451714833537097	0.00202836292831177	0.209413895594011	"Abexinostat"
"ZNF226"	0.45389604905869	0.00207056292775253	0.209413895594011	"Abexinostat"
"RAB18"	0.191834462722025	0.00209894904750732	0.209413895594011	"Abexinostat"
"ZNF397"	0.453922215002032	0.00216382855855431	0.213661339524053	"Abexinostat"
"CTSO"	1.65565316243717	0.00221733831768438	0.216627424242618	"Abexinostat"
"MYH14"	0.35947409448462	0.00223910158697214	0.216627424242618	"Abexinostat"
"MIS12"	0.295599138058547	0.00237200137931296	0.216857965928201	"Abexinostat"
"BTBD11"	2.04496544915428	0.00242179868571274	0.216857965928201	"Abexinostat"
"RICTOR"	0.311975638201215	0.00270046385005426	0.228957850169261	"Abexinostat"
"STK39"	0.712376751903674	0.00273614465064148	0.228957850169261	"Abexinostat"
"N4BP2"	0.393934233501761	0.00277275626853612	0.228957850169261	"Abexinostat"
"FBXW5"	0.421259902310502	0.00277685411192189	0.228957850169261	"Abexinostat"
"PRKRA"	0.251753901098471	0.00279683320837372	0.228957850169261	"Abexinostat"
"MELTF"	1.56494907690287	0.00284747308051988	0.229273637148857	"Abexinostat"
"NFYA"	0.280816835665635	0.00284856575701754	0.229273637148857	"Abexinostat"
"ATP2B4"	0.867870679489035	0.00297646149388363	0.235607836267912	"Abexinostat"
"CASC4"	0.296983112898347	0.00300228491143342	0.23570397444024	"Abexinostat"
"TIGD1"	0.827671939875153	0.00331362284301924	0.246030074344483	"Abexinostat"
"LIN52"	0.420520903116873	0.0035882696593104	0.261358853299608	"Abexinostat"
"CES2"	0.537892034095147	0.00360193867566802	0.261358853299608	"Abexinostat"
"BRF1"	0.61450130673425	0.00371818200130678	0.262121006143741	"Abexinostat"
"WDR5"	0.128690822595603	0.00380839841350856	0.262121006143741	"Abexinostat"
"CAPZB"	0.24541726017708	0.00401280857376827	0.262121006143741	"Abexinostat"
